nomor_pendaftaran,kode_mata_pelajaran,nilai_tka
426341676,300210000,20.97
426375455,401000000,21.19
426706025,300130000,50.87
426728408,401000000,36.55
426195622,600070100,48.68
426580020,300110000,44.71
426164688,300210000,30.12
426772964,300210000,5.00
426149305,300110000,51.60
426805182,300310100,43.49
426441040,401000000,42.73
426839151,300210000,25.13
426620507,200010000,59.17
426078463,300110000,55.05
426407262,300210000,20.38
426561381,401121000,39.62
426571249,401000000,66.18
426157204,300210000,23.47
426729998,401250100,34.13
426480985,300210000,15.26
426737408,300210000,28.56
426066204,600070100,54.39
426241598,600070100,57.08
426029449,300110000,67.84
426623012,300210000,47.79
426624351,401250100,24.75
426120353,401000000,36.22
426806222,300110000,53.43
426155579,600070100,57.12
426029883,300110000,42.98
426611287,401220000,72.70
426139201,300210000,23.01
426469474,300210000,27.46
426134211,300210000,5.00
426193764,300210000,17.69
426686065,401002000,13.77
426729060,300210000,23.75
426375455,200010300,55.93
426690579,300210000,33.28
426815380,300110000,66.16
426346019,401110200,51.77
426015299,401110200,58.17
426141367,401000000,32.55
426719235,300210000,23.10
426346990,300210000,30.17
426262637,401130100,44.47
426030667,401000000,50.23
426171269,401000000,42.28
426336403,300110000,68.38
426397159,401121000,85.86
426279230,401230000,56.95
426540960,401110200,65.91
426145649,300110000,47.09
426519382,401241000,56.20
426833562,300210000,61.23
426406075,401000000,41.60
426663192,401110200,57.93
426234048,401000000,40.00
426830979,300210000,5.00
426760920,401230000,76.82
426459410,300210000,24.59
426716684,300110000,66.48
426401203,401110200,41.62
426814281,401220000,79.73
426169870,401250100,49.11
426694683,300110000,48.88
426627294,401000000,43.29
426137086,300110000,73.58
426400609,401250100,36.60
426360027,300230000,38.44
426468728,200010300,56.64
426330042,401121000,60.93
426244497,300210000,22.83
426566532,300130000,57.53
426548194,200010300,71.08
426464600,300110000,62.24
426574556,401110200,42.43
426281738,300210000,42.02
426255231,300110000,51.70
426246300,300110000,42.67
426088298,300110000,59.52
426578399,300130000,75.20
426758281,401250100,21.63
426556699,300110000,53.75
426348194,401000000,26.98
426241343,300110000,63.03
426435369,401130100,31.93
426394805,401220000,76.80
426292698,300130000,82.85
426528453,300210000,5.00
426236634,401241000,42.50
426610993,401000000,18.28
426676875,300110000,44.31
426803871,401110200,34.71
426199443,300210000,21.86
426791881,300210000,16.31
426138107,300210000,22.70
426074141,401000000,49.97
426675829,300110000,57.49
426441040,401110200,47.69
426796613,300110000,60.96
426669482,401000000,68.76
426018008,600070100,41.99
426435870,401000000,34.21
426212726,300210000,20.08
426247135,300110000,65.81
426482896,401230000,96.56
426488114,300110000,49.59
426377406,401130100,27.93
426237594,401000000,38.90
426469526,300210000,30.28
426397763,401240000,57.94
426389616,300110000,40.31
426394843,401000000,32.39
426135799,300110000,48.27
426574556,401130100,33.54
426395781,300110000,67.96
426527555,401240000,77.43
426596919,401110200,49.20
426209306,300210000,28.66
426522457,401110200,54.34
426752196,401000000,47.68
426668776,200010300,48.74
426703167,300210000,31.09
426610303,300210000,24.04
426169052,300210000,5.00
426525368,300130000,55.28
426666428,401000000,31.69
426477717,300210000,27.38
426398446,300110000,59.22
426752196,401121000,14.73
426151814,401110200,48.04
426397176,300110000,36.98
426459795,300110000,50.09
426130323,401110200,48.07
426688884,401000000,5.00
426406525,401250100,25.30
426466580,401000000,21.57
426476020,300210000,21.30
426803506,401110200,59.55
426233237,300210000,23.81
426607763,401130000,34.78
426469526,401000000,31.39
426238288,300110000,64.59
426362608,401000000,38.25
426734862,300130000,73.99
426697595,300110000,66.60
426623012,401000000,42.23
426505457,401121000,62.95
426644158,401250100,44.41
426243874,401002000,22.70
426237505,300110000,63.63
426210155,300210000,36.68
426564653,300110000,70.84
426693417,300110000,50.65
426480176,401000000,34.64
426173051,300110000,50.23
426488298,300210000,23.26
426409166,401230000,65.55
426568258,401110200,82.61
426275493,401240000,68.61
426170984,401110200,56.60
426519094,200010000,60.29
426291191,300130000,71.13
426474158,401130100,56.98
426706025,300210000,5.00
426330042,300110000,66.36
426392553,401000000,37.79
426698323,300210000,21.98
426682093,401000000,33.08
426582048,401000000,45.80
426714437,300210000,23.57
426785694,401000000,37.54
426315566,300110000,47.13
426016047,401121000,45.37
426690099,300210000,25.35
426422531,401000000,47.48
426155506,300210000,20.98
426077794,600070100,62.64
426571364,401000000,55.96
426587940,300210000,24.23
426582469,401110200,50.63
426677046,401000000,37.15
426335427,300110000,81.06
426155579,300210000,27.52
426746256,401000000,39.81
426712633,300110000,51.21
426836238,300210000,5.00
426345647,401000000,36.31
426793808,300110000,60.24
426338318,401000000,23.34
426510308,300110000,64.67
426617106,300230000,39.84
426252744,300110000,70.68
426151189,401220000,77.22
426245804,300110000,62.81
426132034,300110000,53.75
426347205,300230000,41.73
426134885,401250100,44.67
426441040,300110000,48.28
426233243,401110200,50.37
426217407,401000000,23.16
426207141,600070100,49.40
426341987,401220000,97.21
426243482,401000000,49.79
426137086,401110200,68.53
426804045,300110000,63.71
426518352,401000000,26.21
426785984,300210000,24.87
426464112,300210000,29.53
426140543,300210000,27.83
426339521,401000000,23.29
426639261,401000000,47.93
426051492,300110000,63.79
426569300,300210000,23.31
426395781,300210000,51.94
426341768,401000000,29.65
426519382,401000000,37.75
426404566,401220000,56.23
426418237,401110200,45.90
426726370,401000000,18.12
426257642,300110000,35.72
426192014,401002000,31.73
426231093,300210000,21.82
426698294,300130000,78.33
426685904,300210000,26.45
426150689,401121000,79.04
426018008,300110000,53.64
426465472,401241000,65.30
426135211,401130100,44.27
426062287,600070100,61.98
426759927,401250100,35.76
426069973,300110000,53.52
426632268,300210000,20.65
426687643,300210000,20.02
426061790,300210000,5.00
426762329,401110200,55.61
426443109,401260000,54.10
426525739,401130100,5.00
426254553,401000000,30.83
426315952,200010300,76.71
426147005,401241000,64.14
426245788,401121000,26.90
426460408,401110200,51.19
426625375,300210000,40.06
426571997,300110000,65.12
426318891,401000000,31.67
426334939,600070100,45.46
426140216,401000000,21.68
426835088,300110000,58.17
426243866,300110000,53.40
426626217,300110000,41.28
426391544,300210000,20.54
426402126,200010000,66.31
426237974,401130100,32.41
426486612,300210000,20.15
426379295,300210000,27.84
426035734,600070100,44.28
426032862,200010000,63.22
426450429,300130000,80.37
426360607,300210000,32.58
426440861,401130100,27.55
426408182,401000000,5.00
426140815,300210000,5.00
426127061,401110200,45.11
426594981,401000000,23.62
426719235,300110000,5.00
426078463,401250100,55.60
426391028,401000000,49.48
426394843,300210000,5.00
426327750,300210000,5.00
426829260,300110000,30.19
426395569,300210000,35.37
426780226,300210000,5.00
426802135,300210000,5.00
426464821,600070100,50.84
426812292,300210000,46.74
426596098,401000000,28.95
426596701,300110000,56.67
426076535,401000000,31.61
426562175,300210000,22.36
426671916,300110000,61.19
426398599,401240000,39.18
426600985,300110000,65.83
426565408,401240000,52.28
426237751,300110000,58.95
426664278,300110000,50.84
426749173,300210000,23.06
426315566,401002000,32.66
426460817,300110000,49.51
426793384,600070100,55.09
426351561,300110000,75.22
426690579,401002000,43.73
426004749,300210000,19.20
426232944,300210000,32.88
426753398,401000000,59.81
426804542,401110200,46.08
426233126,300210000,5.00
426141212,300210000,14.76
426703230,401241000,74.87
426132686,300130000,66.80
426344564,300110000,32.53
426187875,401250100,5.00
426450276,300130000,81.97
426522391,300110000,5.00
426194142,401121000,32.52
426675829,300210000,57.18
426460981,300210000,19.55
426327180,401250100,54.02
426233753,401230000,87.30
426571459,401000000,30.86
426141613,300110000,47.73
426167887,300210000,27.31
426348464,401000000,37.13
426140535,300210000,22.48
426695712,401241000,66.81
426389319,300110000,45.07
426804542,300130000,53.77
426069297,300110000,41.57
426315965,401241000,51.23
426143551,300110000,45.72
426477100,401000000,51.83
426673171,300210000,41.77
426619478,600070100,45.59
426403401,401130100,62.36
426352214,401121000,39.46
426144313,401110200,37.38
426025539,600070100,63.84
426723081,401110200,57.73
426262637,300210000,28.04
426000009,300110000,39.78
426397776,401220000,71.60
426488417,300210000,18.92
426713449,200010300,49.79
426712713,300110000,48.94
426548194,300110000,63.26
426598348,200010300,76.95
426663533,401000000,36.62
426346246,300210000,19.30
426015716,300210000,5.00
426259557,300210000,19.81
426464576,300210000,25.81
426432719,300110000,60.23
426214654,600070100,58.99
426751872,300210000,26.60
426693417,401000000,33.08
426230795,300130000,79.32
426120844,600070100,55.94
426398355,401000000,22.98
426712633,401110200,44.20
426569687,200010300,58.63
426449792,300210000,24.49
426341677,300230000,36.49
426556347,401000000,37.73
426217402,300210000,29.95
426759145,401230000,58.68
426762352,300210000,26.47
426343547,300110000,59.22
426404016,300110000,74.20
426234141,600070100,47.19
426139077,300210000,5.00
426476241,300210000,25.32
426728112,401110200,44.08
426127876,401110200,51.04
426472452,401110200,47.02
426171561,401250100,29.63
426233243,401000000,20.59
426281254,401110200,47.77
426221194,300110000,60.39
426672026,401000000,37.92
426128508,300110000,51.21
426146940,401000000,36.60
426648493,401121000,75.49
426520914,401000000,35.31
426840943,300110000,48.40
426350723,401121000,68.57
426238615,401121000,23.53
426231093,200010000,54.86
426324056,401110200,56.51
426570769,401110200,56.73
426329424,600070100,59.62
426135211,300210000,5.00
426590860,300110000,50.72
426690846,401000000,39.29
426377938,300210000,35.12
426116046,300210000,28.63
426408182,300210000,20.29
426337383,300210000,28.27
426544721,401000000,40.53
426752905,300210000,20.93
426010203,300110000,75.97
426511211,401000000,47.87
426114668,401000000,29.22
426245788,300210000,24.84
426197141,300210000,42.05
426056469,401000000,24.22
426522457,300110000,53.54
426069743,300210000,13.03
426769597,401000000,39.75
426394059,401000000,31.77
426644158,300110000,72.65
426299903,401110200,66.18
426690210,300210000,24.32
426490500,200010000,36.90
426330657,600070100,46.36
426064543,401000000,30.95
426714516,300210000,5.00
426130292,300110000,53.03
426435870,300110000,57.70
426611475,300110000,45.36
426469474,401000000,28.68
426023018,600070100,56.12
426579434,401110200,57.80
426132034,300210000,40.48
426341578,300210000,26.98
426464646,300210000,5.00
426115960,300110000,50.79
426568766,401000000,26.20
426821298,401000000,28.00
426708771,401000000,58.31
426828602,401000000,24.88
426754690,300110000,45.83
426339140,401000000,43.97
426573526,401110200,50.48
426524914,300110000,54.92
426341987,401000000,56.79
426357222,300210000,5.00
426354498,200010300,66.07
426574434,401230000,75.11
426469561,401000000,28.57
426490716,401000000,38.06
426551537,401110200,49.78
426379295,401000000,54.14
426336130,401000000,23.95
426386207,401000000,45.34
426157070,401002000,14.92
426765398,300110000,58.68
426076792,300110000,69.12
426131654,300230000,50.67
426274021,401241000,52.88
426253440,401002000,51.89
426079667,600070100,57.33
426465876,300110000,47.23
426327747,401000000,23.64
426230795,300210000,5.00
426037663,300110000,43.84
426571503,300110000,39.41
426634985,401241000,60.06
426719235,401240000,44.80
426523862,200010300,63.29
426130688,300210000,29.61
426023018,401110200,36.95
426449003,300110000,74.96
426429099,600070100,45.90
426717603,600070100,68.55
426745537,300110000,65.07
426234473,401000000,34.87
426172482,300210000,28.22
426131340,401110200,48.93
426475618,401000000,51.42
426237594,200010000,51.70
426682784,401000000,31.91
426242312,401130000,27.54
426473515,401000000,41.13
426632902,401000000,30.37
426227905,401130000,31.52
426703681,401000000,40.21
426157076,300110000,61.55
426589587,401000000,38.21
426710174,300210000,30.77
426147659,401000000,24.40
426147251,401110200,59.31
426369561,401121000,29.90
426190307,401000000,5.00
426520082,401130100,52.63
426617235,401110200,55.03
426142253,401002000,33.33
426474916,401000000,34.49
426028908,401002000,34.76
426718993,300110000,27.88
426477100,401110200,46.50
426750680,401130100,37.92
426664278,600070100,74.51
426178761,300210000,31.74
426802560,300210000,28.04
426610303,300110000,54.23
426535782,401000000,19.06
426260428,401130100,54.13
426285927,401241000,63.04
426275446,401110200,83.85
426145843,401000000,5.00
426225084,300110000,55.35
426178747,300110000,44.80
426530000,300110000,70.29
