npsn,nama_sekolah,jenis_sekolah,kode_kabupaten,nama_kabupaten,kode_provinsi,nama_provinsi,akreditasi_sekolah,tanggal_mulai_akreditasi,tanggal_kadaluarsa,nilai_akreditasi,kepemilikan,sumber_data_nilai
69725123,SMKS MAJU BESITANG,SMK,070200,Kab. Langkat,070000,Prov. Sumatera Utara,B,23-10-2023,23-10-2028,90,Yayasan,Isi Manual
69755583,SMK NEGERI 1 SIMPANG JERNIH,SMK,060400,Kab. Aceh Timur,060000,Prov. Aceh,B,30-11-2022,31-12-2027,82,Pemerintah Daerah,Isi Manual
69758285,SMK NEGERI 1 SIMPANG KANAN,SMK,061300,Kab. Aceh Singkil,060000,Prov. Aceh,C,08-12-2021,31-12-2021,80,Pemerintah Pusat,Isi Manual
69762597,SMAS SAFINATUSSALAMAH,SMA,061300,Kab. Aceh Singkil,060000,Prov. Aceh,B,12-12-2023,12-12-2028,84,Yayasan,Isi Manual
69767777,SMKS KESEHATAN NURUL HASANAH,SMK,060800,Kab. Aceh Tenggara,060000,Prov. Aceh,B,30-11-2022,31-12-2027,82,Yayasan,Isi Manual
69773522,SMAN 1 KETAMBE,SMA,060800,Kab. Aceh Tenggara,060000,Prov. Aceh,B,30-11-2022,18-11-2027,81,Pemerintah Daerah,Isi Manual
69773568,SMA NEGERI 1 DARUL HIKMAH,SMA,061600,Kab. Aceh Jaya,060000,Prov. Aceh,B,10-11-2025,31-12-2030,0,Pemerintah Daerah,Isi Manual
69773569,SMK NEGERI 1 TEUNOM,SMK,061600,Kab. Aceh Jaya,060000,Prov. Aceh,B,08-12-2021,31-12-2021,83,Pemerintah Daerah,Isi Manual
69774642,SMAN MAPAT TUNGGUL SELATAN,SMA,080200,Kab. Pasaman,080000,Prov. Sumatera Barat,B,25-05-2023,19-10-2028,0,Pemerintah Daerah,Isi Manual
69775747,SMA NEGERI 3 SIMEULUE TENGAH,SMA,061100,Kab. Simeulue,060000,Prov. Aceh,B,30-09-2022,18-11-2027,85,Pemerintah Daerah,Isi Manual
69775748,SMA NEGERI 2 TEUPAH SELATAN,SMA,061100,Kab. Simeulue,060000,Prov. Aceh,B,19-12-2025,31-12-2030,0,Pemerintah Daerah,Isi Manual
69786208,SMA NEGERI 1 PULAU BANYAK BARAT,SMA,061300,Kab. Aceh Singkil,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
69786328,SMKN 2 TUHEMBERUA,SMK,072800,Kab. Nias Utara,070000,Prov. Sumatera Utara,B,23-10-2023,23-10-2028,86,Pemerintah Daerah,Isi Manual
69786603,SMAS DARUL AITAMI,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,C,08-12-2021,31-12-2021,74,Yayasan,Isi Manual
69822414,SMA NEGERI 2 SIMPANG KIRI,SMA,066400,Kota Subulussalam,060000,Prov. Aceh,B,20-10-2022,20-10-2027,88,Pemerintah Daerah,Isi Manual
69827778,MA Darul Amin,MA,060800,Kab. Aceh Tenggara,060000,Prov. Aceh,B,12-12-2023,12-12-2028,83,Lainnya,Isi Manual
69845478,SMA NEGERI 2 SAMADUA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,26-09-2023,26-09-2028,84,Pemerintah Daerah,Isi Manual
69849442,Mardhatillah,MA,066400,Kota Subulussalam,060000,Prov. Aceh,C,15-10-2021,15-10-2026,73,Lainnya,e-Rapor
69849443,MAS SIBIGO,MA,061100,Kab. Simeulue,060000,Prov. Aceh,C,12-12-2023,01-01-1900,73,Lainnya,Isi Manual
69861153,SMA SWASTA BABUL ISTIQAMAH,SMA,061700,Kab. Aceh Barat Daya,060000,Prov. Aceh,C,30-11-2022,18-11-2027,72,Yayasan,Isi Manual
69864640,SMK NEGERI 1 KUTA BAHARU,SMK,061300,Kab. Aceh Singkil,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
69864676,SMA NEGERI 1 PENANGGALAN,SMA,066400,Kota Subulussalam,060000,Prov. Aceh,B,30-09-2022,18-11-2027,81,Pemerintah Daerah,Isi Manual
